order_id,user_id,order_date,amount,age,city,channel
46431,58518,2026-03-22,4914.17,23,武汉,APP
40344,33590,2026-01-25,4954.01,50,成都,小程序
6270,38089,2026-03-18,4557.20,22,南京,APP
9401,55239,2026/2/5,2303.28,58,北京,小程序
18464,63867,2026/3/26,4623.48,60,北京,APP
24877,21449,2026年5月12日,3452.43,45,成都,APP
30268,15024,2026-01-05,4548.22,43,成都,线上
16358,58882,2026年7月24日,854.16,32,武汉,小程序
14183,46256,2026年4月13日,4069.58,49,上海,小程序
41872,89287,2026年2月18日,1575.13,18,广州,线上
23655,24843,2026-08-08,2735.32,49,南京,APP
9845,86961,2026年2月5日,1195.94,38,上海,线上
38867,83445,2026/6/16,2559.65,57,广州,线上
149,75389,2026年8月2日,3913.92,46,重庆,APP
19289,48627,2026/2/22,3281.59,51,北京,线下
49568,55537,2026年7月27日,950.50,43,西安,线下
17646,98905,2026-03-03,2840.24,22,杭州,
9775,43958,2026/6/21,2788.72,47,西安,线上
26904,75721,2026/2/8,388.35,46,武汉,小程序
40044,51831,2026-03-02,4271.33,36,西安,APP
38545,49814,2026-02-25,2561.13,42,南京,小程序
46765,60124,2026年5月14日,2586.18,18,上海,APP
15893,25931,2026-01-12,3185.88,41,上海,APP
6808,75976,2026年2月3日,678.16,38,成都,小程序
5234,40701,2026-08-14,2854.71,58,成都,线上
28797,91781,2026年5月22日,1383.61,26,北京,小程序
14622,75943,2026/6/16,3352.08,27,北京,线下
44476,20414,2026年2月23日,658.34,23,深圳,APP
8330,69499,2026年5月27日,759.05,56,北京,线上
29716,88935,2026年4月6日,1318.39,48,上海,线下
22087,98758,2026年1月22日,3655.21,51,重庆,小程序
758,96115,2026-01-06,1387.62,33,广州,线下
14863,47182,2026-01-11,2262.45,40,武汉,线下
40219,87377,2026-07-22,"79,476.9",37,武汉,线下
48846,85529,2026-05-25,1427.81,45,重庆,小程序
42102,44596,2026/5/2,4966.84,56,南京,线下
35623,24184,2026/8/13,995.75,60,西安,线上
33407,91515,2026年1月13日,4386.21,39,广州,小程序
15241,42914,2026-07-01,4794.01,40,南京,线上
20890,54150,2026年3月12日,153.54,40,深圳,线下
37315,91115,2026/5/12,3645.69,45,深圳,线下
30059,19019,2026/3/26,3993.51,-9,武汉,线下
38505,49705,2026年6月27日,490.76,40,北京,小程序
18864,61992,2026/3/9,1032.41,65,重庆,APP
43327,67906,2026年5月10日,526.03,25,杭州,APP
33278,68698,2026/3/23,2304.50,43,广州,线下
30627,94557,2026-06-10,2372.76,52,武汉,小程序
44464,50650,2026-04-17,4563.25,40,南京,线下
38675,59779,2026年7月18日,2038.30,18,重庆,小程序
9577,96063,2026年1月26日,3124.62,63,重庆,小程序
46850,88329,2026-05-01,937.43,23,广州,小程序
2925,30859,2026/2/9,1905.16,44,深圳,线下
5708,64586,2026-05-13,2829.60,36,南京,APP
37748,65515,2026/7/18,2474.40,29,重庆,线下
47727,34416,2026年2月7日,838.49,54,南京,线上
34886,91749,2026-07-12,1879.83,53,南京,线下
40031,80781,2026-04-19,3399.17,63,杭州,
11375,35956,2026/8/12,3711.93,40,重庆,线上
22207,81060,2026年1月19日,2192.87,31,北京,APP
9210,57589,2026-03-16,300.89,65,重庆,APP
48057,34419,2026-01-19,3856.46,26,西安,APP
23522,93893,2026年6月14日,2749.42,60,南京,小程序
30474,41741,2026/3/11,3536.46,49,成都,线下
43429,51992,2026/6/11,"44,675.0",33,深圳,小程序
35817,30324,2026-02-12,2557.52,22,武汉,小程序
663,35470,2026/1/8,4107.62,45,成都,线下
14564,79786,2026-07-06,4302.00,123,南京,线下
35550,53569,2026年1月18日,2293.75,44,西安,小程序
44190,40065,2026年7月11日,747.28,34,广州,线下
26407,67351,2026年6月26日,1255.54,32,北京,APP
7712,34026,2026年8月25日,1524.65,29,杭州,小程序
13944,68742,2026-05-18,4420.90,65,成都,线下
21443,37551,2026年7月1日,164.90,43,广州,线下
2311,38247,2026年2月15日,4491.22,57,南京,线上
8252,21585,2026/4/25,2385.87,44,杭州,APP
8177,47799,2026年2月23日,1376.22,31,深圳,线上
23758,15722,2026-03-14,1522.62,18,重庆,
6142,49973,2026年6月10日,3195.44,49,广州,线下
37548,64413,2026年4月2日,1934.40,22,上海,线上
1860,85611,2026年3月27日,4205.95,22,武汉,
49324,98446,2026/5/12,1646.27,29,成都,APP
